Base,Label,In Base,Detectable By Tool,TP,TN,FP,FN,Recall,Precision
SolidiFI.csv,Reentrancy,True,True,49,160,134,0,1.0,0.2677595628415301
SolidiFI.csv,Access Control,True,True,96,47,198,2,0.9795918367346939,0.32653061224489793
SolidiFI.csv,Arithmetic,True,True,32,132,162,17,0.6530612244897959,0.16494845360824742
SolidiFI.csv,Unchecked Return Values,True,True,49,184,110,0,1.0,0.3081761006289308
SolidiFI.csv,DoS,False,True,0,266,77,0,,0.0
SolidiFI.csv,Bad Randomness,False,True,0,298,45,0,,0.0
SolidiFI.csv,Front-Running,True,False,0,0,0,0,,
SolidiFI.csv,Time manipulation,True,True,49,180,114,0,1.0,0.3006134969325153
SolidiFI.csv,Short Address Attack,False,False,0,0,0,0,,
